Match_ID,Match_Date,Pitch_Type,Phase,Over,Ball,Bowler,Batter_Avg,Batter_SR,Runs_Conceded,Is_Wicket,prevRuns,prevOver,prevBall,prevIsDot_raw,prevIsDot
11935,2023-01-28,Batting,Death,17,1,Bowler B,26.18,145.06,6,0,0.0,6.0,6.0,1,0
11935,2023-01-28,Batting,Death,17,1,Bowler B,33.65,148.68,4,0,6.0,17.0,1.0,0,0
11935,2023-01-28,Batting,Death,17,2,Bowler B,48.59,122.68,6,0,4.0,17.0,1.0,0,0
11935,2023-01-28,Batting,Death,17,2,Bowler B,40.02,117.55,6,0,6.0,17.0,2.0,0,0
11935,2023-01-28,Batting,Death,17,3,Bowler B,37.21,126.98,4,0,6.0,17.0,2.0,0,0
11935,2023-01-28,Batting,Death,17,3,Bowler B,29.46,134.73,0,0,4.0,17.0,3.0,0,0
11935,2023-01-28,Batting,Death,17,4,Bowler B,19.15,157.13,1,0,0.0,17.0,3.0,1,1
11935,2023-01-28,Batting,Death,17,4,Bowler B,36.61,182.3,2,0,1.0,17.0,4.0,0,0
11935,2023-01-28,Batting,Death,17,5,Bowler B,41.32,159.55,4,0,2.0,17.0,4.0,0,0
11935,2023-01-28,Batting,Death,17,5,Bowler B,37.55,173.87,6,0,4.0,17.0,5.0,0,0
11935,2023-01-28,Batting,Death,17,6,Bowler B,39.79,153.12,1,0,6.0,17.0,5.0,0,0
11935,2023-01-28,Batting,Death,17,6,Bowler B,31.0,148.9,1,0,1.0,17.0,6.0,0,0
11943,2022-03-15,Batting,Death,18,1,Bowler B,32.9,151.56,6,0,3.0,6.0,6.0,0,0
11943,2022-03-15,Batting,Death,18,2,Bowler B,40.48,164.51,2,0,6.0,18.0,1.0,0,0
11943,2022-03-15,Batting,Death,18,3,Bowler B,45.13,161.81,3,0,2.0,18.0,2.0,0,0
11943,2022-03-15,Batting,Death,18,4,Bowler B,24.18,119.95,6,0,3.0,18.0,3.0,0,0
11943,2022-03-15,Batting,Death,18,5,Bowler B,35.3,151.31,0,1,6.0,18.0,4.0,0,0
11943,2022-03-15,Batting,Death,18,6,Bowler B,29.56,166.52,4,0,0.0,18.0,5.0,1,1
11943,2022-03-15,Batting,Death,19,1,Bowler B,23.83,131.87,1,0,4.0,18.0,6.0,0,0
11943,2022-03-15,Batting,Death,19,2,Bowler B,49.95,122.82,6,0,1.0,19.0,1.0,0,0
11943,2022-03-15,Batting,Death,19,3,Bowler B,25.29,136.24,3,0,6.0,19.0,2.0,0,0
11943,2022-03-15,Batting,Death,19,4,Bowler B,41.82,155.8,0,0,3.0,19.0,3.0,0,0
11943,2022-03-15,Batting,Death,19,5,Bowler B,35.7,173.5,0,1,0.0,19.0,4.0,1,1
11943,2022-03-15,Batting,Death,19,6,Bowler B,33.59,132.87,1,0,0.0,19.0,5.0,1,1
11951,2022-01-17,Bowling,Death,17,1,Bowler A,52.46,168.43,0,0,0.0,6.0,6.0,1,0
11951,2022-01-17,Bowling,Death,17,2,Bowler A,33.0,154.99,0,0,0.0,17.0,1.0,1,1
11951,2022-01-17,Bowling,Death,17,3,Bowler A,50.1,176.31,2,0,0.0,17.0,2.0,1,1
11951,2022-01-17,Bowling,Death,17,4,Bowler A,14.46,197.06,0,1,2.0,17.0,3.0,0,0
11951,2022-01-17,Bowling,Death,17,5,Bowler A,29.58,156.82,2,0,0.0,17.0,4.0,1,1
11951,2022-01-17,Bowling,Death,17,6,Bowler A,40.19,130.45,0,0,2.0,17.0,5.0,0,0
11951,2022-01-17,Bowling,Death,20,1,Bowler A,36.44,115.19,0,0,0.0,17.0,6.0,1,0
11951,2022-01-17,Bowling,Death,20,2,Bowler A,50.73,161.16,0,0,0.0,20.0,1.0,1,1
11951,2022-01-17,Bowling,Death,20,3,Bowler A,34.87,167.29,1,0,0.0,20.0,2.0,1,1
11951,2022-01-17,Bowling,Death,20,4,Bowler A,20.73,152.69,0,0,1.0,20.0,3.0,0,0
11951,2022-01-17,Bowling,Death,20,5,Bowler A,45.98,142.4,4,0,0.0,20.0,4.0,1,1
11951,2022-01-17,Bowling,Death,20,6,Bowler A,50.19,163.73,0,0,4.0,20.0,5.0,0,0
11982,2022-03-14,Bowling,Death,18,1,Bowler B,39.63,140.18,6,0,0.0,3.0,6.0,1,0
11982,2022-03-14,Bowling,Death,18,2,Bowler B,32.84,172.76,3,0,6.0,18.0,1.0,0,0
11982,2022-03-14,Bowling,Death,18,3,Bowler B,30.48,180.66,0,1,3.0,18.0,2.0,0,0
11982,2022-03-14,Bowling,Death,18,4,Bowler B,47.97,148.41,0,1,0.0,18.0,3.0,1,1
11982,2022-03-14,Bowling,Death,18,5,Bowler B,32.56,160.04,0,1,0.0,18.0,4.0,1,1
11982,2022-03-14,Bowling,Death,18,6,Bowler B,47.37,144.85,4,0,0.0,18.0,5.0,1,1
11982,2022-03-14,Bowling,Death,19,1,Bowler B,32.15,169.15,0,0,4.0,18.0,6.0,0,0
11982,2022-03-14,Bowling,Death,19,2,Bowler B,34.24,116.77,0,1,0.0,19.0,1.0,1,1
11982,2022-03-14,Bowling,Death,19,3,Bowler B,34.66,155.67,6,0,0.0,19.0,2.0,1,1
11982,2022-03-14,Bowling,Death,19,4,Bowler B,62.15,180.04,1,0,6.0,19.0,3.0,0,0
11982,2022-03-14,Bowling,Death,19,5,Bowler B,25.55,163.12,6,0,1.0,19.0,4.0,0,0
11982,2022-03-14,Bowling,Death,19,6,Bowler B,34.06,153.63,1,0,6.0,19.0,5.0,0,0
12853,2022-07-08,Bowling,Death,16,1,Bowler B,21.64,171.41,1,0,2.0,3.0,6.0,0,0
12853,2022-07-08,Bowling,Death,16,2,Bowler B,39.17,149.77,0,1,1.0,16.0,1.0,0,0
12853,2022-07-08,Bowling,Death,16,3,Bowler B,19.27,138.77,2,0,0.0,16.0,2.0,1,1
12853,2022-07-08,Bowling,Death,16,4,Bowler B,37.41,115.43,2,0,2.0,16.0,3.0,0,0
12853,2022-07-08,Bowling,Death,16,5,Bowler B,9.23,143.71,0,0,2.0,16.0,4.0,0,0
12853,2022-07-08,Bowling,Death,16,6,Bowler B,13.77,145.33,6,0,0.0,16.0,5.0,1,1
12853,2022-07-08,Bowling,Death,17,1,Bowler B,45.97,178.83,1,0,6.0,16.0,6.0,0,0
12853,2022-07-08,Bowling,Death,17,2,Bowler B,17.58,159.08,0,0,1.0,17.0,1.0,0,0
12853,2022-07-08,Bowling,Death,17,3,Bowler B,21.29,163.85,0,1,0.0,17.0,2.0,1,1
12853,2022-07-08,Bowling,Death,17,4,Bowler B,38.13,153.71,0,1,0.0,17.0,3.0,1,1
12853,2022-07-08,Bowling,Death,17,5,Bowler B,45.8,177.54,0,0,0.0,17.0,4.0,1,1
12853,2022-07-08,Bowling,Death,17,6,Bowler B,26.29,189.0,1,0,0.0,17.0,5.0,1,1
13271,2023-03-03,Bowling,Death,17,1,Bowler A,39.41,133.96,0,0,4.0,4.0,6.0,0,0
13271,2023-03-03,Bowling,Death,17,2,Bowler A,29.99,153.14,1,0,0.0,17.0,1.0,1,1
13271,2023-03-03,Bowling,Death,17,3,Bowler A,42.46,152.34,0,0,1.0,17.0,2.0,0,0
13271,2023-03-03,Bowling,Death,17,4,Bowler A,51.86,137.25,1,0,0.0,17.0,3.0,1,1
13271,2023-03-03,Bowling,Death,17,5,Bowler A,29.99,159.59,0,1,1.0,17.0,4.0,0,0
13271,2023-03-03,Bowling,Death,17,6,Bowler A,19.32,127.26,4,0,0.0,17.0,5.0,1,1
13271,2023-03-03,Bowling,Death,20,1,Bowler A,42.1,205.13,2,0,4.0,17.0,6.0,0,0
13271,2023-03-03,Bowling,Death,20,2,Bowler A,23.23,155.57,2,0,2.0,20.0,1.0,0,0
13271,2023-03-03,Bowling,Death,20,3,Bowler A,37.76,143.39,0,1,2.0,20.0,2.0,0,0
13271,2023-03-03,Bowling,Death,20,4,Bowler A,25.59,108.21,0,0,0.0,20.0,3.0,1,1
13271,2023-03-03,Bowling,Death,20,5,Bowler A,33.45,128.8,3,0,0.0,20.0,4.0,1,1
13271,2023-03-03,Bowling,Death,20,6,Bowler A,35.5,169.93,1,0,3.0,20.0,5.0,0,0
13641,2022-04-03,Bowling,Death,16,1,Bowler A,54.58,113.63,3,0,1.0,4.0,6.0,0,0
13641,2022-04-03,Bowling,Death,16,2,Bowler A,43.13,147.81,1,0,3.0,16.0,1.0,0,0
13641,2022-04-03,Bowling,Death,16,3,Bowler A,49.09,154.64,1,0,1.0,16.0,2.0,0,0
13641,2022-04-03,Bowling,Death,16,4,Bowler A,36.05,156.05,1,0,1.0,16.0,3.0,0,0
13641,2022-04-03,Bowling,Death,16,5,Bowler A,34.36,142.94,0,0,1.0,16.0,4.0,0,0
13641,2022-04-03,Bowling,Death,16,6,Bowler A,27.13,163.38,0,0,0.0,16.0,5.0,1,1
13641,2022-04-03,Bowling,Death,17,1,Bowler A,32.44,145.76,0,0,0.0,16.0,6.0,1,0
13641,2022-04-03,Bowling,Death,17,2,Bowler A,37.69,157.55,2,0,0.0,17.0,1.0,1,1
13641,2022-04-03,Bowling,Death,17,3,Bowler A,28.46,166.85,4,0,2.0,17.0,2.0,0,0
13641,2022-04-03,Bowling,Death,17,4,Bowler A,31.07,132.58,1,0,4.0,17.0,3.0,0,0
13641,2022-04-03,Bowling,Death,17,5,Bowler A,37.93,139.87,1,0,1.0,17.0,4.0,0,0
13641,2022-04-03,Bowling,Death,17,6,Bowler A,34.62,180.03,0,0,1.0,17.0,5.0,0,0
14311,2022-07-02,Batting,Death,16,1,Bowler A,41.72,119.99,4,0,1.0,4.0,6.0,0,0
14311,2022-07-02,Batting,Death,16,2,Bowler A,21.09,140.35,0,0,4.0,16.0,1.0,0,0
14311,2022-07-02,Batting,Death,16,3,Bowler A,12.34,142.98,6,0,0.0,16.0,2.0,1,1
14311,2022-07-02,Batting,Death,16,4,Bowler A,21.09,121.06,1,0,6.0,16.0,3.0,0,0
14311,2022-07-02,Batting,Death,16,5,Bowler A,39.51,170.13,2,0,1.0,16.0,4.0,0,0
14311,2022-07-02,Batting,Death,16,6,Bowler A,45.22,139.33,0,0,2.0,16.0,5.0,0,0
